static_text,log_level,project
ZK session expired or lost. Retry a new connection...,warn,HBase
"Failed to reconnect to client zk after session expiration, will retry later",warn,HBase
Unexpected exception handling nodeCreated event,warn,HBase
Unexpected exception handling nodeDeleted event for path: ,warn,HBase
Interrupted while checking whether need to update meta location to client zk,debug,HBase
MOB HFiles older than  |  will be deleted!,info,HBase
Failed to find the mob file ,warn,HBase
Checking file ,debug,HBase
 is an expired file,debug,HBase
Cannot parse the fileName ,error,HBase
Failed to delete the mob files ,error,HBase
 expired mob files are deleted,info,HBase
$$$Empty Message$$$,info,HBase
"Failed to open mob file[ | ], keep it in temp directory.",error,HBase
Failed to compact the mob files for the column  |  in the table ,error,HBase
Failed to parse the date ,warn,HBase
Failed to parse date ,warn,HBase
Cleaning the expired MOB files of  |  in ,info,HBase
Failed to close the HBaseAdmin.,error,HBase
Failed to close the connection.,error,HBase
"hbase.mob.cache.evict.remain.ratio is less than 0.0, 0.0 is used.",warn,HBase
"hbase.mob.cache.evict.remain.ratio is larger than 1.0, 1.0 is used.",warn,HBase
"MobFileCache enabled with cacheSize= | , evictPeriods= | sec, evictRemainRatio=",debug,HBase
MobFileCache disabled,info,HBase
Failed to evict the file ,error,HBase
"MobFileCache, Exception happen during close ",error,HBase
Interrupted while sleeping,warn,HBase
Still running ,debug,HBase
"MobFileCache Statistics, access:  | , miss:  | , hit:  | , hit ratio:  | %, evicted files: ",info,HBase
"Failed to create mob writer, we will continue the compaction by writing MOB cells directly in store files",warn,HBase
"Failed to create del writer, we will continue the compaction by writing delete markers directly in store files",warn,HBase
"The value format of the KeyValue  |  is wrong, its length is less than ",warn,HBase
"Compaction progress: * *, rate=* KB/sec, throughputController is *",debug,HBase
"Mob store is flushed, sequenceid= | , memsize= |  | , hasBloomFilter= | , into tmp file ",info,HBase
Failed to delete the temp mob file,error,HBase
No candidate mob files,info,HBase
is allFiles: ,info,HBase
"The compaction type is  | , the request has  |  del files,  |  selected files, and  |  irrelevant files",info,HBase
"After merging, there are  |  del files",info,HBase
"After compaction, there are  |  mob files",info,HBase
"After a mob compaction with all files selected, archiving the del files ",info,HBase
$$$Empty Message$$$,info,HBase
Failed to archive the del files ,error,HBase
No partitions of mob files,info,HBase
Compacting mob files for partition ,info,HBase
Failed to compact the partition ,error,HBase
Failed to close the Table,error,HBase
Compaction is finished. The number of mob files is changed from  |  to ,info,HBase
Failed to close the reader on store file ,warn,HBase
Failed to archive the files ,error,HBase
Failed to close the writer of the file ,error,HBase
Failed to archive the old del files ,error,HBase
Failed to close the writer of the file ,error,HBase
Failed to close the writer of the ref file ,error,HBase
Failed to delete the file ,error,HBase
The file  |  links to can not be found,warn,HBase
Task may be stuck: ,warn,HBase
Status  |  appears to have been leaked,warn,HBase
Namespace State Manager started.,info,HBase
"The region  |  cannot be created. The region count  will exceed quota on the namespace.  | This may be transient, please retry later if there are any ongoing split |  operations in the namespace.",warn,HBase
Namespace state found null for namespace : ,warn,HBase
Error while fetching namespace descriptor for namespace : ,error,HBase
Finished updating state of  |  namespaces. ,info,HBase
NamespaceAuditor started.,info,HBase
Namespace auditor checks not performed for table ,debug,HBase
"Submitted null subprocedure, nothing to run here.",warn,HBase
Subproc name cannot be null or the empty string,error,HBase
Subproc ' | ' is already running. Bailing out,error,HBase
"A completed old subproc  |  is still present, removing",warn,HBase
Another thread has replaced existing subproc ' | '. Bailing out,error,HBase
Submitting new Subprocedure:,debug,HBase
Another thread has submitted subproc ' | '. Bailing out,error,HBase
Failed to start subprocedure ' | ',error,HBase
Unexpected reached globa barrier message for Sub-Procedure ' | ',warn,HBase
reached global barrier message for Sub-Procedure ' | ',trace,HBase
$$$Empty Message$$$,error,HBase
Request received to abort procedure ,debug,HBase
"Received abort on procedure with no local subprocedure  | , ignoring it.",info,HBase
$$$Empty Message$$$,error,HBase
User procedure  |  was loaded successfully.,info,HBase
Class  |  cannot be found. ,warn,HBase
Load procedure  |  failed. ,warn,HBase
Current zk system:,debug,HBase
$$$Empty Message$$$,debug,HBase
$$$Empty Message$$$,debug,HBase
"Clearing all znodes *, *, *",debug,HBase
Clearing all znodes for procedure  | including nodes  |   |  ,info,HBase
$$$Empty Message$$$,error,HBase
Creating acquire znode:,debug,HBase
Watching for acquire node:,debug,HBase
$$$Empty Message$$$,error,HBase
Creating reached barrier zk node:,debug,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
Attempting to clean out zk node for op:,debug,HBase
$$$Empty Message$$$,error,HBase
Node created: ,debug,HBase
Finished data from procedure '*' member '*': *,debug,HBase
Ignoring created notification for node:,debug,HBase
Unable to start the ZK-based Procedure Coordinator rpcs.,error,HBase
Starting controller for procedure member=,debug,HBase
Aborting procedure ' | ' in zk,debug,HBase
Creating abort znode:,debug,HBase
Finished creating abort node:,debug,HBase
Got an error notification for op: |  but we can't read the information. Killing the procedure.,warn,HBase
Got an error notification for op: |  but we can't read the information. Killing the procedure.,warn,HBase
Procedure  |  currently running.  Rejecting new request,warn,HBase
Procedure  |  was in running list but was completed.  Accepting new attempt.,debug,HBase
Procedure  |  has been resubmitted by another thread. Rejecting this request.,warn,HBase
Procedure  |  was in running list but has exception.  Accepting new attempt.,debug,HBase
Procedure  |  has been resubmitted by another thread. Rejecting this request.,warn,HBase
Submitting procedure ,debug,HBase
Another thread has submitted procedure ' | '. Ignoring this attempt.,error,HBase
Procedure  |  rejected by execution pool.  Propagating error.,warn,HBase
received connection failure: ,debug,HBase
connection failure - notify procedure: ,trace,HBase
abort procedure ,debug,HBase
Failed to submit procedure ' | ',error,HBase
Member ' | ' is trying to acquire an unknown procedure ' | ',warn,HBase
Member ' | ' acquired procedure ' | ',trace,HBase
Member ' | ' is trying to release an unknown procedure ' | ',warn,HBase
Member ' | ' released procedure ' | ',trace,HBase
Starting procedure ' | ',info,HBase
Procedure ' | ' starting 'acquire',debug,HBase
Waiting for all members to 'acquire',debug,HBase
Procedure ' | ' starting 'in-barrier' execution.,debug,HBase
Waiting for all members to 'release',debug,HBase
Procedure ' | ' execution completed,info,HBase
$$$Empty Message$$$,error,HBase
Running finish phase.,debug,HBase
"Starting procedure ' | ', kicking off acquire phase on members.",debug,HBase
Finished coordinator procedure - removing self from list of running procedures,debug,HBase
member: ' | ' joining acquired barrier for procedure ' | ' on coordinator,debug,HBase
Waiting on:  |  remaining members to acquire global barrier,debug,HBase
"Member  |  joined barrier, but we weren't waiting on it to join. |  Continuing on.",warn,HBase
"Member: ' | ' released barrier for procedure' | ', counting down latch.  Waiting for  |  more",debug,HBase
"Member: ' | ' released barrier for procedure' | ', but we weren't waiting on it to release!",warn,HBase
Received created event:,info,HBase
Ignoring created notification for node:,debug,HBase
Received procedure start children changed event: ,info,HBase
Received procedure abort children changed event: ,info,HBase
Received reached global barrier:,debug,HBase
Checking for aborted procedures on node: ' | ',debug,HBase
Looking for new procedures under znode:' | ',debug,HBase
No running procedures.,debug,HBase
No running procedures.,debug,HBase
Found procedure znode: ,debug,HBase
Not starting: |  because we already have an abort notification.,debug,HBase
$$$Empty Message$$$,error,HBase
start proc data length is ,debug,HBase
Found data for znode:,debug,HBase
Illegal argument exception,error,HBase
Illegal state exception ,error,HBase
Member: ' | ' joining acquired barrier for procedure ( | ) in zk,debug,HBase
Watch for global barrier reached:,debug,HBase
Marking procedure  ' | ' completed for member ' | ' in zk,debug,HBase
Failed due to null subprocedure,error,HBase
Aborting procedure ( | ) in zk,debug,HBase
Finished creating abort znode:,debug,HBase
Aborting procedure member for znode ,debug,HBase
$$$Empty Message$$$,error,HBase
Got an error notification for op: |  but we can't read the information. Killing the procedure.,warn,HBase
abort already in progress,warn,HBase
Starting procedure member ' | ',debug,HBase
"Was remote foreign exception, not redispatching error",debug,HBase
"Was KeeperException, not redispatching error",debug,HBase
"Can't reach controller, not propagating error",error,HBase
Starting subprocedure ' | ' with timeout  | ms,debug,HBase
Subprocedure ' | ' starting 'acquire' stage,debug,HBase
Subprocedure ' | ' locally acquired,debug,HBase
"Subprocedure ' | ' coordinator notified of 'acquire', waiting on |  'reached' or 'abort' from coordinator",debug,HBase
Subprocedure ' | ' received 'reached' from coordinator.,debug,HBase
Subprocedure ' | ' locally completed,debug,HBase
Subprocedure ' | ' has notified controller of completion,debug,HBase
Subprocedure ' | ' running cleanup.,debug,HBase
Subprocedure ' | ' completed.,debug,HBase
$$$Empty Message$$$,error,HBase
Procedure * initializing,debug,HBase
Procedure * initialized,debug,HBase
Procedure * starting,debug,HBase
Procedure * started,debug,HBase
Failed to close procedure  |  cleanly,warn,HBase
Start region server flush procedure manager ,debug,HBase
Stopping region server flush procedure manager  | .,info,HBase
Launching subprocedure to flush regions for ,debug,HBase
Waiting for local region flush to finish.,debug,HBase
unexpected future,warn,HBase
Completed  | / |  local region flush tasks.,debug,HBase
Completed  |  local region flush tasks.,debug,HBase
Got InterruptedException in FlushSubprocedurePool,warn,HBase
Rethrowing ForeignException from FlushSubprocedurePool,warn,HBase
Got Exception in FlushSubprocedurePool,warn,HBase
cancelling  |  flush region tasks ,debug,HBase
Starting region operation on ,debug,HBase
Flush region  |  started...,debug,HBase
Closing region operation on ,debug,HBase
Flush region tasks submitted for  |  regions,debug,HBase
Aborting all flush region subprocedure task threads for ' | ' due to error,info,HBase
stop: ,info,HBase
$$$Empty Message$$$,error,HBase
Done waiting - exec procedure  |  for ' | ',info,HBase
Master flush table procedure is successful!,info,HBase
Refreshing space quotas in RegionServer,trace,HBase
Failed to process quota reports and update quota state. Will retry.,warn,HBase
Found following tables with quotas: ,trace,HBase
Using  |  region space use reports: ,trace,HBase
"Filtered insufficiently reported tables, left with  |  regions reported",trace,HBase
Moving  |  out of violation because fewer region sizes were |  reported than required.,trace,HBase
"Unexpectedly did not find a space quota for  | , maybe it was recently deleted.",debug,HBase
"Processing  |  with current= | , target=",trace,HBase
"Could not get Namespace space quota for  | , maybe it was recently deleted.",debug,HBase
"Processing  |  with current= | , target=",trace,HBase
 moved into observance of table space quota.,debug,HBase
 moved into violation of table space quota with policy of ,debug,HBase
 remains in observance of quota.,trace,HBase
 remains in violation of quota.,trace,HBase
Not activating Namespace violation policy because a Table violation |  policy is already in effect for ,trace,HBase
 moving into observance of namespace space quota,info,HBase
Not activating Namespace violation policy because a Table violation |  policy is already in effect for ,trace,HBase
 moving into violation of namespace space quota with policy ,info,HBase
 remains in observance of quota.,trace,HBase
Not activating Namespace violation policy because Table violation |  policy is already in effect for ,trace,HBase
 moving into violation of namespace space quota,info,HBase
Removed  |  old region size reports that were older than  | .,trace,HBase
Adding  |  under  |  as having a namespace quota,trace,HBase
Adding  |  as having table quota.,trace,HBase
Filtering  |  because no regions were reported,trace,HBase
Filtering  |  because  |  of  |  regions were reported.,trace,HBase
Retaining  |  because  |  of  |  regions were reported.,trace,HBase
Quota support disabled,info,HBase
Initializing RPC quota support,info,HBase
Start rpc quota manager and rpc throttle enabled is *,info,HBase
Switch rpc throttle from * to *,info,HBase
Skip switch rpc throttle because previous value * is the same as current value *,warn,HBase
Skip switch rpc throttle to * because rpc quota is disabled,warn,HBase
get quota for ugi= |  table= |  userLimiter=,trace,HBase
get quota for ugi= |  table= |  userLimiter= |  tableLimiter= |  nsLimiter= |  rsLimiter= |  exceedThrottleQuotaEnabled=,trace,HBase
Throttling exception for user= |  table= |  numWrites= |  numReads= |  numScans= | : ,debug,HBase
"Quota support disabled, not starting space quota manager.",info,HBase
RegionServerSpaceQuotaManager has already been started!,warn,HBase
Enabling violation policy enforcement on  |  with policy ,trace,HBase
Failed to enable space violation policy for  | . This table will not enter violation.,error,HBase
Disabling violation policy enforcement on ,trace,HBase
Failed to disable space violation policy for  | . This table will remain in violation.,error,HBase
Computing sizes of snapshots for quota management.,trace,HBase
"Failed to compute the size of snapshots, will retry",warn,HBase
Paths for  | : ,trace,HBase
Files referenced by other snapshots: ,trace,HBase
Snapshot  |  solely references the files: ,trace,HBase
Computed size of  |  to be ,trace,HBase
Could not compute path for the archive directory for the region,warn,HBase
"Expected  |  to be a file but was a directory, ignoring reference",warn,HBase
Could not obtain the status of ,warn,HBase
"Expected  |  to exist but does not, ignoring reference.",warn,HBase
Failed to trim exception message,trace,HBase
Unable to parse user ' | ' quotas,error,HBase
Unable to parse  |  ' | ' quotas,error,HBase
Stopping QuotaRefresherChore chore.,debug,HBase
Unable to read if exceed throttle quota enabled from quota table,warn,HBase
evict  |  key=,trace,HBase
refresh  |  key= |  quotas=,trace,HBase
Unable to read  |  from quota table,warn,HBase
Get live region servers failed,warn,HBase
Get table regions failed: *,warn,HBase
Saw snapshot size of  |  for ,trace,HBase
Failed to parse snapshot size from cell: ,warn,HBase
Preempting execution of FileSystemUtilizationChore because it exceeds the maximum iteration configuration value. Will process remaining iterators on a subsequent invocation.,debug,HBase
"Computed the size of  |  Regions. Skipped computation |  of  |  regions due to not being online on this RS,  |  regions due to being the parent of a split, and |  regions due to being region replicas.",trace,HBase
Size of  |  is ,trace,HBase
Reading current quota snapshots from hbase:quota.,trace,HBase
" table quota snapshots are collected,  | read  |  from the quota table.",trace,HBase
": current= | , new=",trace,HBase
Enabling  |  on ,trace,HBase
Removing quota violation policy on ,trace,HBase
Switching quota violation policy on  |  from  |  to ,trace,HBase
Removing quota violation policy on ,trace,HBase
"Caught exception while refreshing enforced quota violation policies, will retry.",warn,HBase
$$$Empty Message$$$,error,HBase
Exceed throttle quota is enabled but no region server quotas found,warn,HBase
"Read/Write requests num exceeds quota: writes:* reads:* scan:*, try use region server quota",debug,HBase
Persisting a space quota snapshot  |  for ,trace,HBase
Quota support disabled,info,HBase
Quota table not found. Creating...,info,HBase
Initializing quota support,info,HBase
* switch rpc throttle from * to *,info,HBase
Skip switch rpc throttle to * because it's the same with old value,warn,HBase
Skip switch rpc throttle to * because rpc quota is disabled,warn,HBase
Skip get rpc throttle because rpc quota is disabled,warn,HBase
Skip switch exceed throttle quota to * because it's the same with old value,warn,HBase
* switch exceed throttle quota from * to *,info,HBase
Skip switch exceed throttle quota to * because quota is disabled,warn,HBase
Current quota for request( | ): ,trace,HBase
Deserialized quota from request: ,trace,HBase
Computed merged quota from current quota and user request: ,trace,HBase
Interrupted while waiting for Quota Manager to be initialized.,warn,HBase
Compactions were already disabled upon enabling the policy,trace,HBase
Compactions were already enabled upon disabling the policy,trace,HBase
High priority because region=,trace,HBase
Marking normal priority after getting exception=,trace,HBase
High priority scanner request ,trace,HBase
Failed checking low replication,warn,HBase
Failed to shutdown wal,warn,HBase
Wal roll period * ms elapsed,debug,HBase
WAL roll requested,debug,HBase
Log rolling failed,error,HBase
LogRoller exiting.,info,HBase
"Failed to schedule flush of *, because it is not online on us",warn,HBase
"Failed to schedule flush of *, region=*, because FlushRequester is null",warn,HBase
"Flushed memstore data size=* at sequenceid=* (bloomFilter=*), to=*",info,HBase
$$$Empty Message$$$,debug,HBase
Instantiated  | ; ,debug,HBase
"Failed initialize of region= *, starting to roll back memstore",warn,HBase
"Failed drop memstore of region= *, some chunks may not released forever since MSLAB is enabled",warn,HBase
writing seq id for *,debug,HBase
Failed to clean up wrong region WAL directory *,debug,HBase
Opened *; next sequenceid=*,info,HBase
Setting FlushNonSloppyStoresFirstPolicy for the region=,info,HBase
Could not initialize all stores for the region=,error,HBase
close store failed,warn,HBase
"Asked to modify this region's ( | ) memStoreSizing to a negative value which is incorrect. Current memStoreSizing= | , delta=",error,HBase
Region  |  is not mergeable because it is closing or closed,debug,HBase
Region  |  is not mergeable because it has references,debug,HBase
Region close journal:\n,debug,HBase
Region  |  already closed,warn,HBase
"Closing *, disabling compactions & flushes",debug,HBase
Running close preflush of *,info,HBase
Updates disabled for region ,debug,HBase
"Running extra flush,  |  (carrying snapshot?) ",info,HBase
Memstore data size is *,error,HBase
Closed ,info,HBase
waiting for  |  compactions |  & cache flush |  to complete for region ,debug,HBase
Interrupted while waiting,warn,HBase
waiting for cache flush to complete for region ,debug,HBase
Interrupted while waiting,warn,HBase
Waited  |  ms for flush to complete,debug,HBase
Skipping compaction on  |  because closing/closed,debug,HBase
"Store  |  on region  |  has been re-instantiated, cancel this compaction request.  |  It may be caused by the roll back of split transaction",warn,HBase
$$$Empty Message$$$,debug,HBase
$$$Empty Message$$$,info,HBase
Starting compaction of * in **,info,HBase
$$$Empty Message$$$,info,HBase
Compaction status journal:\n\t,debug,HBase
$$$Empty Message$$$,debug,HBase
$$$Empty Message$$$,debug,HBase
"NOT flushing memstore for region  | , flushing= | , writesEnabled=",debug,HBase
Flush status journal:\n\t,debug,HBase
Flush column family  |  of  |  because unflushed sequenceid= |  is >  |  from current=,debug,HBase
Flush column family:  |  of  |  because time of oldest edit= |  is >  |  from now =,debug,HBase
"Flushing  | / |  column families, |  dataSize= |  heapSize= |  | ",info,HBase
Received unexpected exception trying to write ABORT_FLUSH marker to WAL:,warn,HBase
 :  | Received exception while trying to write the flush request to wal,warn,HBase
$$$Empty Message$$$,trace,HBase
 :  | failed writing ABORT_FLUSH marker to WAL,warn,HBase
$$$Empty Message$$$,info,HBase
$$$Empty Message$$$,warn,HBase
No such column family in batch mutation. ,warn,HBase
$$$Empty Message$$$,warn,HBase
Batch Mutation did not pass sanity check. ,warn,HBase
$$$Empty Message$$$,warn,HBase
Batch mutation had a row that does not belong to this region. ,warn,HBase
"Failed getting lock, row=",warn,HBase
No family for  |  omit from reply.,info,HBase
 :  | Skipping  |  mutations with replaySeqId= |  which is < than lastReplayedOpenRegionSeqId=,trace,HBase
 : Skipping : ,trace,HBase
 : Enabling reads for region.,info,HBase
Failed delete of *,error,HBase
Deleted recovered.edits file=*,debug,HBase
Failed delete of *,error,HBase
Deleted recovered.edits file=*,debug,HBase
Found  |  recovered edits file(s) under ,debug,HBase
Null or non-existent edits file: ,warn,HBase
$$$Empty Message$$$,debug,HBase
The property 'hbase.skip.errors' has been deprecated. Please use hbase.hregion.edits.replay.skip.errors instead.,warn,HBase
=true so continuing. Renamed  |  as ,error,HBase
$$$Empty Message$$$,info,HBase
$$$Empty Message$$$,warn,HBase
 :  | Found decreasing SeqId. PreId= |  key= | ; edit=,error,HBase
No family for ,warn,HBase
Row of  |  is not within region boundary,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,debug,HBase
 :  | Skipping replaying compaction event : |  because its sequence id  |  is smaller than this regions  | lastReplayedOpenRegionSeqId of ,warn,HBase
 :  | Skipping replaying compaction event : |  because its sequence id  |  is smaller than this regions  | lastReplayedCompactionSeqId of ,warn,HBase
 :  | Replaying compaction marker  |  with seqId= |  and lastReplayedOpenRegionSeqId=,debug,HBase
 :  | Found Compaction WAL edit for deleted family:,warn,HBase
 :  | At least one of the store files in compaction:  |  doesn't exist any more. Skip loading the file(s),warn,HBase
 :  | Replaying flush marker ,debug,HBase
" :  | Received a flush event with unknown action, ignoring. ",warn,HBase
" :  | Received a flush start marker from primary, but the family is not found. Ignoring |  StoreFlushDescriptor:",warn,HBase
 :  | Skipping replaying flush event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,HBase
 :  |  Prepared flush with seqId:,debug,HBase
 :  |  Prepared empty flush with seqId:,debug,HBase
 :  | Received a flush prepare marker with the same seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,HBase
 :  | Received a flush prepare marker with a smaller seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,HBase
 :  | Received a flush prepare marker with a larger seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn,HBase
 :  | Skipping replaying flush event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,HBase
 :  | Received a flush commit marker with seqId: |  and a previous prepared snapshot was found,debug,HBase
" :  | Received a flush commit marker with smaller seqId:  |  than what we have prepared with seqId:  | . Picking up new file, but not dropping |   prepared memstore snapshot",warn,HBase
 :  | Received a flush commit marker with larger seqId:  |  than what we have prepared with seqId:  | . Picking up new file and dropping prepared |  memstore snapshot,warn,HBase
" :  | Received a flush commit marker with seqId: | , but no previous prepared snapshot was found",warn,HBase
 :  | At least one of the store files in flush:  |  doesn't exist any more. Skip loading the file(s),warn,HBase
" :  | Received a flush commit marker from primary, but the family is not found. | Ignoring StoreFlushDescriptor:",warn,HBase
 :  | Unexpected: flush commit marker received from store  |  but no associated flush context. Ignoring,warn,HBase
"Drop memstore for Store  |  in region  |  , dropped memstoresize: [ |  }",info,HBase
 :  | Dropping memstore contents as well since replayed flush seqId:  |  is greater than current seqId:,info,HBase
 :  | Not dropping memstore contents since replayed flush seqId:  |  is smaller than current seqId:,info,HBase
 :  | Skipping replaying flush event : |  because its sequence id  |  is smaller than this regions  | lastReplayedOpenRegionSeqId of ,warn,HBase
" :  | Unknown region event received, ignoring :",warn,HBase
 :  | Replaying region open event marker ,debug,HBase
 :  | Skipping replaying region event : |  because its sequence id is smaller than this regions lastReplayedOpenRegionSeqId  |  of ,warn,HBase
" :  | Received a region open marker from primary, but the family is not found.  | Ignoring. StoreDescriptor:",warn,HBase
 :  | At least one of the store files:  |  doesn't exist any more. Skip loading the file(s),warn,HBase
 :  | Replaying bulkload event marker ,debug,HBase
 :  | Skipping replaying bulkload event : |  because its sequence id is smaller than this region's lastReplayedOpenRegionSeqId |  =,warn,HBase
" :  | Received a bulk load marker from primary, but the family is not found.  | Ignoring. StoreDescriptor:",warn,HBase
 :  |  doesn't exist any more. Skip loading the file,warn,HBase
 :  | Refreshing store files to see whether we can free up memstore,debug,HBase
 : Store files for region: ,trace,HBase
"File  |  is zero-length, deleting.",warn,HBase
Thread interrupted waiting for lock on row: ,warn,HBase
"Error to get row lock for  | , cause: ",warn,HBase
There were one or more IO errors when checking if the bulk load is ok.,error,HBase
"There was a recoverable bulk load failure likely due to a |  split.  These (family, HFile) pairs were not loaded: ",warn,HBase
There was a partial failure due to IO when attempting to |  load  |  : ,error,HBase
Error while calling failedBulkLoad for family  |  with path ,error,HBase
Failed to find the size of hfile ,warn,HBase
There was a partial failure due to IO when attempting to |  load  |  : ,error,HBase
Error while calling failedBulkLoad for family  |  with path ,error,HBase
filter#hasFilterRow is true which prevents partial results from being  formed. Changing scope of limits that may create partials,trace,HBase
"creating  | , tableDescriptor= | null | , regionDir=",info,HBase
Opening region: ,debug,HBase
Opening region (readOnly filesystem): ,debug,HBase
HRegion.Warming up region: ,debug,HBase
"Failed getting lock, row=",warn,HBase
RowProcessor: |  throws Exception,warn,HBase
RowProcessor: |  throws Exception,warn,HBase
RowProcessor timeout: |  ms,error,HBase
$$$Empty Message$$$,debug,HBase
"Coprocessor service  |  already registered, rejecting request from ",error,HBase
Registered coprocessor service: region= |  service=,debug,HBase
Cannot split meta region in HBase 0.20 and above,warn,HBase
Ignoring invalid split,error,HBase
writing data to region  |  with WAL disabled. Data may be lost in the event of a crash.,info,HBase
Interrupted while waiting for a lock,info,HBase
Flush requested on ,debug,HBase
$$$Empty Message$$$,warn,HBase
"Splitting the stripe - ratio w/o split  | , ratio with split  |  configured ratio ",debug,HBase
Attempting to merge compaction results:  |  files replaced by ,debug,HBase
Attempting to delete compaction results: ,debug,HBase
Attempting to load  |  store files.,debug,HBase
"Unexpected metadata - start row [ | ], end row [ | ] in file [ | ], pushing to L0",error,HBase
"Store file doesn't fit into the tentative stripes - expected to start at [ | ], but starts at [ | ], to L0 it goes",warn,HBase
"The range of the loaded files does not cover full key space: from [ | ], to [ | ]",warn,HBase
"Inconsistent files, everything goes to L0.",warn,HBase
$$$Empty Message$$$,debug,HBase
The newly compacted file doesn't have stripes set: ,warn,HBase
"Stripes were created by a flush, but results of size  |  cannot be added because the stripes have changed",warn,HBase
 conflicting files (likely created by a flush)  |  of size  |  are moved to L0 due to concurrent stripe change,info,HBase
"Found an expired store file:  |  whose maxTimestamp is  | , which is below ",info,HBase
Failed to complete execution of proc pid=*,debug,HBase
Successfully complete execution of proc pid=*,debug,HBase
Failed report procedure  | ; retry (# | ) |  after  | ms delay (Master is coming online...).,info,HBase
"Setting  |  to  | , same value as  |  because supplied value greater than initial memstore size value.",warn,HBase
"Setting  |  to  | , same value as  |  because supplied value less than initial memstore size value.",warn,HBase
"Setting  |  to  | , same value as  |  because supplied value greater than initial block cache size.",warn,HBase
"Setting  |  to  | , same value as  |  because supplied value less than initial block cache size.",warn,HBase
"Starting, tuneOn=*",info,HBase
Stopping,info,HBase
heapOccupancyPercent  |  is above heap occupancy alarm watermark ( | ),warn,HBase
heapOccupancyPercent  |  is now below the heap occupancy alarm watermark ( | ),info,HBase
Exception thrown from the HeapMemoryTuner implementation,error,HBase
From HeapMemoryTuner new memstoreSize:  | . new blockCacheSize: ,debug,HBase
New memstoreSize from HeapMemoryTuner  |  is below min level  | . Resetting memstoreSize to min size,info,HBase
New memstoreSize from HeapMemoryTuner  |  is above max level  | . Resetting memstoreSize to max size,info,HBase
New blockCacheSize from HeapMemoryTuner  |  is below min level  | . Resetting blockCacheSize to min size,info,HBase
New blockCacheSize from HeapMemoryTuner  |  is above max level  | . Resetting blockCacheSize to min size,info,HBase
Current heap configuration from HeapMemoryTuner exceeds  | the threshold required for successful cluster operation.  | The combined value cannot exceed 0.8.  |  is  |  and  |  is ,info,HBase
Setting block cache heap size to  |  and memstore heap size to ,info,HBase
No changes made by HeapMemoryTuner.,debug,HBase
Tuner step size is too low; we will not perform any tuning this time.,debug,HBase
$$$Empty Message$$$,debug,HBase
close store scanner failed,warn,HBase
StoreScanner already has the close lock. There is no need to updateReaders,debug,HBase
StoreScanner already closing. There is no need to updateReaders,debug,HBase
"Storescanner.peek() is changed where before =  | ,and after = ",info,HBase
Switch to stream read (scanned=* bytes) of *,debug,HBase
failed to switch to stream read,warn,HBase
Region  |  not splittable because midkey=null,debug,HBase
"Splitting  | , ",debug,HBase
Could not execute split for ,info,HBase
Re-Initializing compactions because user switched on compactions,info,HBase
Interrupting running compactions because user switched off compactions,info,HBase
$$$Empty Message$$$,debug,HBase
Compaction requested:  | system | ; Because:  |  | ; ,debug,HBase
User has disabled compactions,info,HBase
$$$Empty Message$$$,debug,HBase
Waiting for  |  to finish...,info,HBase
Interrupted waiting for  |  to finish...,warn,HBase
Total number of regions is approaching the upper limit  | .  | Please consider taking a look at http://hbase.apache.org/book.html#ops.regionmgt,warn,HBase
Compaction selection failed ,error,HBase
Completed |  compaction  | ; duration=,info,HBase
Compaction failed ,error,HBase
Compaction failed at original callstack: ,info,HBase
Compaction failed ,error,HBase
Status *,debug,HBase
Compaction Rejected: ,debug,HBase
Changing the value of  |  from  |  to ,info,HBase
Changing the value of  |  from  |  to ,info,HBase
Changing the value of  |  from  |  to ,info,HBase
"Commit  |  writers, maxSeqId= | , majorCompaction=",debug,HBase
Failed to close the writer after an unfinished compaction.,error,HBase
 is a link,trace,HBase
 is a  |  reference to ,trace,HBase
Failed match of store file name ,warn,HBase
reference ' | ' to region= |  hfile=,trace,HBase
Skipping  |  because it is empty. HBASE-646 DATA LOSS?,warn,HBase
parse proto buffer of split WAL request failed ,error,HBase
split WAL * succeed.,info,HBase
failed to split WAL *.,warn,HBase
Failed to delete a file after failed flush: ,error,HBase
"Failed to close flush scanner, ignoring",warn,HBase
$$$Empty Message$$$,info,HBase
"Fail to open mob file[ | ], keep it in temp directory.",error,HBase
"The Cell result is null, assemble a new Cell with the same row,family,qualifier,timestamp,type and tags but with an empty value to return.",warn,HBase
"Fail to read the cell, the mob file  |  doesn't exist",debug,HBase
The mob file  |  is corrupt,error,HBase
Fail to read the cell,debug,HBase
Fail to read the cell,debug,HBase
The mob file  |  could not be found in the locations  |  or it is corrupt,error,HBase
Time to purge deletes set to *ms in store *,trace,HBase
"Compaction check period multiplier must be positive, setting default: *1000",error,HBase
